"anio","region","cod_prov","provincia","cod_cant_d","canton","valor_agregado","impuestos","pib","exportaciones","importaciones","cod_cant"
2020,"Central","1","San José",105,"Tarrazú",75057.4597493513,3994.25652126593,79051.7162706172,24350.2996879175,1798.69964518843,"05"
2020,"Central","1","San José",106,"Aserrí",134286.754594364,7412.41030228762,141699.164896651,3574.26356749609,6743.21026681544,"06"
2020,"Central","1","San José",107,"Mora",113019.891259403,7643.06276678481,120662.954026187,7894.86671318138,6270.67254877975,"07"
2020,"Central","1","San José",108,"Goicoechea",1012758.7441259,165974.304636382,1178733.04876228,1564.63410621291,83796.1844616771,"08"
2020,"Central","1","San José",109,"Santa Ana",1385573.94682804,64139.4983623052,1449713.44519034,1974.5657093798,28703.7161801574,"09"
2020,"Central","1","San José",110,"Alajuelita",202612.013916325,15146.8608773861,217758.874793711,977.807051058416,17919.1012014349,"10"
2020,"Central","1","San José",111,"Vázquez de Coronado",246745.123553059,16766.2607198435,263511.384272902,803.727050277636,20966.0826697195,"11"
2020,"Central","1","San José",112,"Acosta",57896.3201530427,4239.39866643365,62135.7188194764,13602.0792898299,6209.3564669005,"12"
2020,"Central","1","San José",113,"Tibás",364195.271650343,28359.4070060627,392554.678656405,17064.3988969596,31561.564839294,"13"
2020,"Central","1","San José",114,"Moravia",279707.435309893,26315.0389677928,306022.474277686,17451.5920944119,35984.6532173159,"14"
2020,"Central","1","San José",115,"Montes de Oca",952917.91104249,31130.0337583666,984047.944800856,6264.04541578246,22134.919138503,"15"
2020,"Central","1","San José",116,"Turrubares",19145.0760404689,588.615976403553,19733.6920168724,0,4.69834652779537,"16"
2020,"Central","1","San José",117,"Dota",34455.6977307959,2305.72437042498,36761.4221012209,849.078033894543,7.3978057745686,"17"
2020,"Central","1","San José",118,"Curridabat",574502.671915086,31758.7546243247,606261.426539411,8880.55820905859,48847.1420387035,"18"
2020,"Brunca","1","San José",119,"Pérez Zeledón",513954.457211436,31298.3463146417,545252.803526077,11882.5126370296,7826.68089480588,"19"
2020,"Central","1","San José",120,"León Cortés Castro",68551.164688911,3510.12513870552,72061.2898276165,0,145.233719198189,"20"
